抽检序号,问题ID,POI名称,抽检帖子数,抽检类型,抽检结论,自动规则结果,人工复核意见,是否允许进入已采纳证据,触发的设计修正
1,GYTRAVEL-HV-20260916-0001,黔大叔大牌档(甲秀楼店),6,协同营销与分店归属,有真实到访线索但同日出现多篇文案结构和标签高度相似内容,原规则只识别显性广告不足,模板化帖子不得按独立体验累计,否（仅完成样本抽检）,新增近重复组、同日同标签簇和同作者多帖检测
2,GYTRAVEL-HV-20260916-0002,8号花园餐厅(甲秀楼店),5,正负体验与营销混合,存在一篇明确旅行日记和一篇具体负面到访；另有同日近重复宣传文案,分店与地址可确认但体验不能只保留正面,否（仅完成样本抽检）,协同营销单列待审并要求保留相反体验
3,GYTRAVEL-HV-20260916-0003,李兰英胖姨妈粉面店(护国路店),8,更名与别名,帖子使用李兰英湖南面馆、李兰英胖姨妈湖南面店等名称且多次给出护国路151号,严格全名匹配把近期候选误排除,需要弱名称锚点加地址上下文后人工确认,否（仅完成样本抽检）,新增待审核_别名或改名通道；不计入P1有效证据
4,GYTRAVEL-HV-20260916-0006,大虎老火锅(博爱路店),6,经营状态词误报,帖子中的关门指另一家店而非目标实体,旧关键词规则误标经营风险,经营状态词必须与目标名处于同一语义句段,否（仅完成样本抽检）,经营状态检测改为目标同句约束
5,GYTRAVEL-HV-20260916-0010,兴隆餐馆(兴隆街店),0,无可核实来源,48条来源均未直接命中目标店名,自动排除正确；不得用兴隆街其他餐馆替代,保持无证据状态,否,无修正
6,GYTRAVEL-HV-20260916-0014,王万妈卤猪脚(青岩老店),6,新老分店混淆,多数帖子只指向王万妈品牌或东门门店；仅少量内容提到老店且未充分对应余庆路,泛品牌帖子不能挂到青岩老店,否（仅完成样本抽检）,分店上下文不足继续保留待审且不得计为老店证据
7,GYTRAVEL-HV-20260916-0016,NEED创意韩国料理(贵阳万象城店),0,回答有结论但正文缺失,点点AI声称证据充分但21条来源正文均未成功抓取,没有正文就不能形成SourceEvidence,否,正文完整性硬闸门验证有效
8,GYTRAVEL-HV-20260916-0020,新大新豆米火锅1993(南国花锦店),6,真实经营状态风险,一篇2026-09-15笔记明确写目标店打围；另有其他店关门文字不应误归目标,打围只进入状态复核工单不能直接断言停业,否（仅完成样本抽检）,经营状态词补充打围/围挡/装修并使用目标同句约束
9,GYTRAVEL-HV-20260916-0024,北京御铺烤鸭(油榨街店),1,目标客群不符,唯一名称候选来自在贵阳工作3.5年的本地长期居住者且点点AI明确无游客来源,可作名称线索但不能作游客体验证据,否,游客语境必须人工确认；不能因正文提到外省同学就视为游客作者
10,GYTRAVEL-HV-20260916-0026,广味园(青云路店),0,回答有结论但正文缺失,点点AI输出强结论但18条来源正文均为0,不得形成证据或挂载营业时间,否,正文完整性硬闸门验证有效
11,GYTRAVEL-HV-20260916-0061,SANHE叁合酒店(贵阳甲秀楼青云市集店),6,酒店分店消歧,有一篇明确完整店名与西湖巷地址的旅行记录；大量甲秀楼附近叁合酒店描述未必能区分其他叁合门店,仅完整分店名或地址命中可进入下一轮审核,否（仅完成样本抽检）,酒店同样执行分店上下文硬约束
12,GYTRAVEL-HV-20260916-0101,天河潭风景区,6,景区正负体验并存,近期帖子能直接指向景区且包含路线、防滑、消费引导等具体体验；团购和攻略词不等于广告,应按原文逐项判断并保留负面体验,否（仅完成样本抽检）,营销关键词只作风险提示不自动驳回
13,GYTRAVEL-HV-20260916-0108,孔学堂,5,跨区知识背景与实体归属,正文直接到访孔学堂但延伸阅读提到修文县阳明文化背景,整题地域拒绝会误删有效贵阳来源；只能截取孔学堂对应连续原文,否（仅完成样本抽检）,跨区词改为逐来源待审且不得据外地段落生成目标实体体验
14,GYTRAVEL-HV-20260916-0112,情人谷,6,异地同名与行政区冲突,名称直命中仍混入都匀情人谷和兴义马岭河峡谷内同名点；另有一条把乌当情人谷写成花溪,三条异地同名自动排除；行政区冲突单列待审,否（仅完成样本抽检）,增加异地同名实体排除与行政区冲突通道；比较型标题不误杀
15,GYTRAVEL-HV-20260916-0113,贵阳龙洞堡国际机场,5,历史沿革与当前经营风险,2005年更名属于历史沿革并非当前搬迁改名风险；机场餐饮合集还存在协同营销迹象,历史日期事件已排除；营销合集继续待审且不写运营状态,否（仅完成样本抽检）,当前经营风险增加陈年历史事件豁免
16,GYTRAVEL-HV-20260916-0115,贵阳北站,6,攻略捎带与交通体验,到站出站换乘和候车经历可以支持交通接驳证据；行程单仅顺带提到车站时不能证明网红度或整体口碑,只允许逐条形成accessGuide候选且不计算热度,否（仅完成样本抽检）,交通枢纽限定安全字段并保留攻略清单风险
17,GYTRAVEL-HV-20260916-0114,贵阳站,5,多车站实体消歧,帖子会同时列出贵阳站贵阳北站贵阳东站和龙洞堡站；单纯出现名称不足以把其他车站交通信息归入贵阳站,只截取与目标站同句或相邻连续段落的接驳信息,否（仅完成样本抽检）,交通枢纽审核要求目标站名称与接驳描述局部共现
